QA output created by 1078

=== pcp-pidstat without filters
Linux ram-Lenovo 4.4.0-28-generic #47-Ubuntu SMP Fri Jun 24 10:09:13 UTC 2016 x86_64	(4 CPU)
Timestamp	UID	PID	usr	system	guest	%CPU	CPU	Command
15:05:38	1000	5292	?	?	?	?	2	ibus-daemon
15:05:38	1000	5334	?	?	?	?	1	gvfsd
15:05:38	0	13945	?	?	?	?	3	kworker/3:2
15:05:38	1000	7896	?	?	?	?	2	gvfsd-dnssd
15:05:38	1000	11994	?	?	?	?	1	chrome
15:05:38	1000	5339	?	?	?	?	2	gvfsd-fuse
15:05:38	1000	5855	?	?	?	?	0	evolution-calen
15:05:38	1000	12000	?	?	?	?	3	chrome
15:05:38	999	4833	?	?	?	?	1	pmlogger
15:05:38	0	5804	?	?	?	?	1	fwupd
15:05:38	1000	5865	?	?	?	?	1	evolution-addre
15:05:38	123	5671	?	?	?	?	1	geoclue
15:05:38	1000	12012	?	?	?	?	0	chrome
15:05:38	1000	5357	?	?	?	?	2	ibus-dconf
15:05:38	1000	5358	?	?	?	?	2	ibus-ui-gtk3
15:05:38	1000	5360	?	?	?	?	0	ibus-x11
15:05:38	0	13553	?	?	?	?	2	kworker/2:0
15:05:38	1000	12018	?	?	?	?	2	chrome
15:05:38	1000	12020	?	?	?	?	3	chrome
15:05:38	1000	5878	?	?	?	?	1	evolution-addre
15:05:38	0	247	?	?	?	?	0	raid5wq
15:05:38	1000	9304	?	?	?	?	3	bash
15:05:38	1000	14588	?	?	?	?	0	chrome
15:05:38	1000	12029	?	?	?	?	2	chrome
15:05:38	1000	5375	?	?	?	?	0	unity-settings-
15:05:38	1000	5376	?	?	?	?	0	bamfdaemon
15:05:38	1000	12033	?	?	?	?	1	chrome
15:05:38	1000	5379	?	?	?	?	2	compiz
15:05:38	65534	5381	?	?	?	?	1	dnsmasq
15:05:38	1000	5382	?	?	?	?	1	hud-service
15:05:38	0	14603	?	?	?	?	0	kworker/0:0
15:05:38	0	13584	?	?	?	?	1	kworker/u16:3
15:05:38	1000	11992	?	?	?	?	1	chrome
15:05:38	1000	8980	?	?	?	?	2	atom
15:05:38	0	814	?	?	?	?	1	ModemManager
15:05:38	1000	14102	?	?	?	?	3	gedit
15:05:38	1000	8984	?	?	?	?	0	atom
15:05:38	0	14612	?	?	?	?	2	kworker/2:3
15:05:38	0	283	?	?	?	?	2	bioset
15:05:38	1000	11909	?	?	?	?	0	chrome
15:05:38	1000	13872	?	?	?	?	1	bash
